AcademicBackground,AcademicLevel,ProgrammingSkill,DataSkill,CybersecuritySkill,CloudSkill,NetworkingSkill,DatabaseSkill,DesignSkill,AISkill,TechnologyInterest,DataInterest,DesignInterest,LeadershipInterest,SocialImpactInterest,ProgrammingSelfAssessment,CommunicationSelfAssessment,ProblemSolvingSelfAssessment,CollaborationSelfAssessment,LearningAgility,PreferredEnvironment,PreferredPace,StabilityPreference,CompensationPreference,IndustryPreference,CareerLabel
ComputerScience,Undergraduate,5,3,2,2,3,3,2,3,5,4,1,1,1,5,5,4,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Software Developer
InformationTechnology,Undergraduate,5,2,3,3,2,3,1,4,5,3,1,3,1,5,4,5,5,4,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Software Developer
ComputerScience,Undergraduate,5,3,2,3,1,4,2,3,5,1,1,1,1,5,2,5,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Software Developer
InformationTechnology,Graduate,5,3,1,4,2,3,2,2,5,3,3,1,1,5,4,5,2,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Software Developer
ComputerScience,Undergraduate,4,4,2,3,2,2,3,3,4,3,1,1,3,4,4,5,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Software Developer
InformationTechnology,Undergraduate,5,3,2,2,3,3,2,3,5,4,1,1,1,5,5,4,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Software Developer
ComputerScience,Undergraduate,5,2,3,3,2,3,1,4,5,3,1,3,1,5,4,5,5,4,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Software Developer
InformationTechnology,Graduate,5,3,2,3,1,4,2,3,5,1,1,1,1,5,2,5,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Software Developer
ComputerScience,Undergraduate,5,3,1,4,2,3,2,2,5,3,3,1,1,5,4,5,2,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Software Developer
InformationTechnology,Undergraduate,4,4,2,3,2,2,3,3,4,3,1,1,3,4,4,5,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Software Developer
Statistics,Undergraduate,3,5,2,1,3,4,2,4,4,5,1,1,3,4,5,4,4,4,Flexible,Moderate,Growth,SalaryBenefits,Finance,Data Analyst
ComputerScience,Undergraduate,3,4,3,2,2,4,1,5,4,5,1,3,1,4,4,5,5,3,Flexible,Moderate,Growth,SalaryBenefits,Finance,Data Analyst
Statistics,Undergraduate,4,5,2,2,1,5,2,4,5,4,1,1,3,5,2,5,4,4,Flexible,Moderate,Growth,SalaryBenefits,Finance,Data Analyst
ComputerScience,Graduate,3,5,1,3,2,4,2,3,4,5,3,1,3,4,4,5,2,4,Flexible,Moderate,Growth,SalaryBenefits,Finance,Data Analyst
Statistics,Undergraduate,2,5,2,2,2,3,3,4,3,5,1,1,4,2,4,5,4,5,Flexible,Moderate,Growth,SalaryBenefits,Finance,Data Analyst
ComputerScience,Undergraduate,3,5,2,1,3,4,2,4,4,5,1,1,3,4,5,4,4,4,Flexible,Moderate,Growth,SalaryBenefits,Finance,Data Analyst
Statistics,Undergraduate,3,4,3,2,2,4,1,5,4,5,1,3,1,4,4,5,5,3,Flexible,Moderate,Growth,SalaryBenefits,Finance,Data Analyst
ComputerScience,Graduate,4,5,2,2,1,5,2,4,5,4,1,1,3,5,2,5,4,4,Flexible,Moderate,Growth,SalaryBenefits,Finance,Data Analyst
Statistics,Undergraduate,3,5,1,3,2,4,2,3,4,5,3,1,3,4,4,5,2,4,Flexible,Moderate,Growth,SalaryBenefits,Finance,Data Analyst
ComputerScience,Undergraduate,2,5,2,2,2,3,3,4,3,5,1,1,4,2,4,5,4,5,Flexible,Moderate,Growth,SalaryBenefits,Finance,Data Analyst
Cybersecurity,Undergraduate,4,3,5,2,5,3,2,3,5,4,1,1,1,4,5,4,2,5,OfficeBased,Moderate,Stability,SalaryBenefits,Finance,Cybersecurity Analyst
ComputerScience,Undergraduate,4,2,5,3,4,3,1,4,5,3,1,3,1,4,4,5,4,4,OfficeBased,Moderate,Stability,SalaryBenefits,Finance,Cybersecurity Analyst
Cybersecurity,Undergraduate,5,3,5,3,3,4,2,3,5,1,1,1,1,5,2,5,2,5,OfficeBased,Moderate,Stability,SalaryBenefits,Finance,Cybersecurity Analyst
ComputerScience,Graduate,4,3,4,4,4,3,2,2,5,3,3,1,1,4,4,5,1,5,OfficeBased,Moderate,Stability,SalaryBenefits,Finance,Cybersecurity Analyst
Cybersecurity,Undergraduate,3,4,5,3,4,2,3,3,4,3,1,1,3,2,4,5,2,5,OfficeBased,Moderate,Stability,SalaryBenefits,Finance,Cybersecurity Analyst
ComputerScience,Undergraduate,4,3,5,2,5,3,2,3,5,4,1,1,1,4,5,4,2,5,OfficeBased,Moderate,Stability,SalaryBenefits,Finance,Cybersecurity Analyst
